Segments,Household Counts,Wants to buy Security Devices,Will Switch Brands,High & Medium IPA,Pay more to buy Top Quality Electronics
Comfortable Retirees,3502870,121346,759639,119470,537362
Diverse Workers,9067386,327728,2286425,0,1920240
Elder Midscale Class,5126538,424447,1081551,760180,1001329
Elite Households,3782280,773110,887918,3651132,1153657
Mass Markets,8944892,807344,2168742,123992,2239097
Modest Families,3922926,224353,1076186,0,867047
Prosperous Acheivers,3653326,849727,704491,3480767,953399
Upscale Matures,2990662,451118,596014,2657359,647027
Well-heeled Affluents,2647809,1176191,522831,2569518,756944
Young Affluent Mobiles,5455273,427550,1345477,1952550,1685141
Young Upscale Families,6370407,367450,1472441,2977446,1768303
Young Urban Masses,6709160,136007,1686936,58152,1705368
