Segments,Household Counts,Wants to buy Security Devices,Will Switch Brands,High & Medium IPA,Pay more to buy Top Quality Electronics,Total
Mass Markets,0.036,0.04,0.037,0.001,0.015,0.128
Diverse Workers,0.036,0.016,0.039,0,0.013,0.104
Young Upscale Families,0.026,0.018,0.025,0.016,0.012,0.097
Well-heeled Affluents,0.011,0.058,0.009,0.014,0.005,0.0971
Elite Households,0.015,0.038,0.015,0.02,0.008,0.096
Prosperous Acheivers,0.015,0.042,0.012,0.019,0.006,0.094
Young Affluent Mobiles,0.022,0.021,0.023,0.011,0.011,0.088
Young Urban Masses,0.027,0.007,0.029,0,0.011,0.074
Elder Midscale Class,0.021,0.021,0.019,0.004,0.007,0.071
Upscale Matures,0.012,0.022,0.01,0.014,0.004,0.063
Modest Families,0.016,0.011,0.018,0,0.006,0.051
Comfortable Retirees,0.014,0.006,0.013,0.001,0.004,0.037
